Ticket_ID,Ticket_Type,Queue,Priority,Assigned_Team,Category,Status,Created_Date,Resolved_Date,Region
IT090,Incident,Technical Support,high,3 - Senior,Performance,In Progress,29-06-2024,15-06-2024,MEA
IT091,Change,IT Support,low,1 - Junior,Product,Resolved,15-06-2024,17-06-2024,EU
IT092,Request,Customer Service,low,4 - Management,Compliance,In Progress,15-06-2024,20-06-2024,APAC
IT093,Incident,Service Outages and Maintenance,medium,4 - Management,Security,Open,15-06-2024,29-06-2024,LATAM
IT094,Request,Billing and Payments,low,1 - Junior,Product,Resolved,15-06-2024,29-06-2024,NA
IT095,Request,Technical Support,medium,3 - Senior,Documentation,In Progress,16-06-2024,15-06-2024,EU
IT096,Problem,Billing and Payments,low,4 - Management,Account,Open,17-06-2024,16-06-2024,LATAM
IT097,Request,Customer Service,medium,3 - Senior,IT,Open,20-06-2024,17-06-2024,NA
IT098,Incident,Technical Support,high,2 - Regular,IT,Open,23-06-2024,20-06-2024,NA
IT099,Request,Technical Support,high,2 - Regular,Documentation,In Progress,26-06-2024,23-06-2024,NA
IT100,Problem,Billing and Payments,high,2 - Regular,Account,Resolved,29-06-2024,26-06-2024,NA
IT101,Problem,Technical Support,medium,2 - Regular,Customer,In Progress,15-06-2024,16-06-2024,LATAM
IT102,Incident,Technical Support,high,4 - Management,Outage,Open,15-06-2024,17-06-2024,MEA
IT103,Request,Returns and Exchanges,high,3 - Senior,Performance,Resolved,16-06-2024,20-06-2024,MEA
IT104,Incident,Service Outages and Maintenance,high,3 - Senior,Disruption,Open,17-06-2024,29-06-2024,LATAM
IT105,Problem,Returns and Exchanges,medium,2 - Regular,Documentation,Open,20-06-2024,15-06-2024,LATAM
IT106,Problem,Billing and Payments,high,1 - Junior,Bug,In Progress,23-06-2024,17-06-2024,APAC
IT107,Request,Technical Support,high,2 - Regular,Strategy,Resolved,26-06-2024,20-06-2024,MEA
IT108,Request,Returns and Exchanges,medium,3 - Senior,Feedback,In Progress,29-06-2024,29-06-2024,EU
IT109,Request,Technical Support,high,4 - Management,Customer,Open,29-06-2024,16-06-2024,EU
IT110,Incident,Customer Service,medium,2 - Regular,Bug,Resolved,15-06-2024,29-06-2024,MEA
IT111,Incident,Product Support,high,1 - Junior,Network,In Progress,15-06-2024,15-06-2024,APAC
IT112,Problem,Billing and Payments,medium,1 - Junior,Refund,Open,16-06-2024,15-06-2024,APAC
IT113,Request,General Inquiry,medium,4 - Management,Sales,Open,17-06-2024,16-06-2024,LATAM
IT114,Request,Technical Support,high,4 - Management,Network,Open,20-06-2024,26-06-2024,APAC
IT115,Incident,Product Support,low,2 - Regular,Bug,In Progress,23-06-2024,29-06-2024,EU
IT116,Incident,Technical Support,high,4 - Management,Security,Resolved,26-06-2024,17-06-2024,LATAM
IT117,Problem,Technical Support,medium,3 - Senior,Breach,In Progress,29-06-2024,20-06-2024,LATAM
IT118,Incident,Technical Support,high,3 - Senior,Bug,Open,29-06-2024,26-06-2024,NA
IT119,Problem,IT Support,high,1 - Junior,Security,Resolved,15-06-2024,16-06-2024,MEA
IT120,Request,Customer Service,medium,2 - Regular,Compliance,Open,15-06-2024,17-06-2024,MEA
IT121,Incident,Technical Support,high,4 - Management,Customer,Open,16-06-2024,26-06-2024,APAC
IT122,Incident,Technical Support,high,2 - Regular,Crash,In Progress,17-06-2024,29-06-2024,EU
IT123,Change,IT Support,high,2 - Regular,Compliance,Resolved,20-06-2024,16-06-2024,EU
IT124,Request,Technical Support,high,2 - Regular,IT,In Progress,29-06-2024,17-06-2024,MEA
IT125,Change,Product Support,medium,2 - Regular,Security,Open,15-06-2024,29-06-2024,LATAM
IT126,Request,Technical Support,high,4 - Management,Documentation,Resolved,15-06-2024,17-06-2024,MEA
IT127,Problem,Product Support,medium,3 - Senior,Breach,In Progress,16-06-2024,20-06-2024,EU
IT128,Request,Customer Service,medium,4 - Management,Specifications,Open,17-06-2024,15-06-2024,LATAM
IT129,Request,Human Resources,low,3 - Senior,Training,Open,20-06-2024,15-06-2024,MEA
IT130,Problem,Customer Service,low,2 - Regular,Performance,Open,29-06-2024,16-06-2024,NA
IT131,Change,Returns and Exchanges,high,1 - Junior,Marketing,In Progress,15-06-2024,15-06-2024,MEA
IT132,Problem,Product Support,high,2 - Regular,Performance,Resolved,15-06-2024,15-06-2024,MEA
IT133,Request,Customer Service,medium,2 - Regular,Sales,In Progress,16-06-2024,15-06-2024,APAC
IT134,Request,IT Support,high,4 - Management,Documentation,Open,17-06-2024,17-06-2024,LATAM
IT135,Change,Technical Support,medium,3 - Senior,Feedback,Resolved,20-06-2024,20-06-2024,APAC
IT136,Incident,Technical Support,medium,4 - Management,Performance,Open,29-06-2024,29-06-2024,MEA
IT137,Incident,General Inquiry,low,3 - Senior,Feedback,Open,15-06-2024,15-06-2024,MEA
IT138,Change,Sales and Pre-Sales,low,3 - Senior,Product,In Progress,15-06-2024,16-06-2024,MEA
IT139,Problem,IT Support,high,2 - Regular,Performance,Resolved,15-06-2024,20-06-2024,MEA
IT140,Problem,Technical Support,high,1 - Junior,Website,In Progress,15-06-2024,29-06-2024,NA
IT141,Request,Returns and Exchanges,high,1 - Junior,Feature,Open,16-06-2024,15-06-2024,LATAM
IT142,Change,Customer Service,low,3 - Senior,Security,Resolved,17-06-2024,15-06-2024,LATAM
IT143,Request,Technical Support,high,1 - Junior,Feature,In Progress,20-06-2024,17-06-2024,MEA
IT144,Request,Billing and Payments,high,1 - Junior,Security,Open,23-06-2024,20-06-2024,APAC
IT145,Change,Customer Service,medium,2 - Regular,Performance,Open,26-06-2024,23-06-2024,MEA
IT146,Problem,Technical Support,medium,2 - Regular,Product,Open,29-06-2024,26-06-2024,LATAM
IT147,Change,Customer Service,medium,4 - Management,Compliance,In Progress,15-06-2024,15-06-2024,EU
IT148,Problem,Technical Support,medium,2 - Regular,Performance,Resolved,15-06-2024,20-06-2024,APAC
IT149,Request,Billing and Payments,medium,1 - Junior,Documentation,In Progress,16-06-2024,15-06-2024,EU
IT150,Problem,Technical Support,medium,4 - Management,Performance,Open,17-06-2024,16-06-2024,MEA
IT151,Incident,Customer Service,low,2 - Regular,Bug,Resolved,20-06-2024,20-06-2024,NA
IT152,Incident,Sales and Pre-Sales,high,4 - Management,Disruption,Open,23-06-2024,15-06-2024,APAC
IT153,Problem,IT Support,medium,2 - Regular,IT,Open,26-06-2024,17-06-2024,MEA
IT154,Request,Technical Support,medium,3 - Senior,IT,In Progress,29-06-2024,15-06-2024,LATAM
IT155,Incident,Technical Support,high,3 - Senior,Performance,Resolved,29-06-2024,17-06-2024,NA
IT156,Incident,Technical Support,high,2 - Regular,Bug,In Progress,15-06-2024,20-06-2024,APAC
IT157,Problem,Product Support,high,1 - Junior,Customer,Open,15-06-2024,29-06-2024,EU
IT158,Problem,Returns and Exchanges,high,2 - Regular,Bug,Resolved,16-06-2024,15-06-2024,LATAM
IT159,Request,Technical Support,medium,4 - Management,IT,In Progress,17-06-2024,15-06-2024,LATAM
IT160,Incident,Technical Support,high,4 - Management,Bug,Open,20-06-2024,16-06-2024,EU
IT161,Incident,Customer Service,medium,4 - Management,Product,Open,23-06-2024,20-06-2024,APAC
IT162,Incident,Returns and Exchanges,medium,2 - Regular,Outage,Open,26-06-2024,23-06-2024,EU
IT163,Request,Product Support,medium,1 - Junior,Sales,In Progress,29-06-2024,29-06-2024,NA
IT164,Request,Billing and Payments,medium,2 - Regular,Feedback,Resolved,29-06-2024,15-06-2024,APAC
IT165,Change,Product Support,medium,3 - Senior,Feedback,In Progress,15-06-2024,16-06-2024,MEA
IT166,Request,Billing and Payments,medium,2 - Regular,Product,Open,15-06-2024,17-06-2024,APAC
IT167,Request,Returns and Exchanges,low,2 - Regular,Strategy,Resolved,16-06-2024,23-06-2024,NA
IT168,Incident,Technical Support,low,2 - Regular,Security,Open,17-06-2024,15-06-2024,EU
IT169,Incident,Technical Support,low,2 - Regular,Performance,Open,20-06-2024,15-06-2024,LATAM
IT170,Change,General Inquiry,low,2 - Regular,Integration,In Progress,29-06-2024,16-06-2024,EU
IT171,Incident,Product Support,high,2 - Regular,Customer,Resolved,15-06-2024,17-06-2024,NA
IT172,Problem,Technical Support,medium,2 - Regular,Performance,In Progress,15-06-2024,20-06-2024,MEA
IT173,Request,Sales and Pre-Sales,low,2 - Regular,Sales,Open,16-06-2024,15-06-2024,MEA
IT174,Request,Returns and Exchanges,medium,2 - Regular,Product,Resolved,17-06-2024,15-06-2024,LATAM
IT175,Problem,Technical Support,medium,4 - Management,IT,In Progress,20-06-2024,20-06-2024,APAC
IT176,Incident,Technical Support,medium,3 - Senior,IT,Open,29-06-2024,29-06-2024,LATAM
IT177,Request,Sales and Pre-Sales,medium,2 - Regular,Inquiry,Open,15-06-2024,15-06-2024,LATAM
IT178,Change,Service Outages and Maintenance,low,3 - Senior,Performance,Open,15-06-2024,20-06-2024,APAC
IT179,Request,Customer Service,medium,4 - Management,Product,In Progress,16-06-2024,15-06-2024,APAC
IT180,Incident,Product Support,low,1 - Junior,Network,Resolved,17-06-2024,17-06-2024,NA
IT181,Incident,IT Support,medium,2 - Regular,Security,In Progress,20-06-2024,23-06-2024,NA
IT182,Incident,Technical Support,high,1 - Junior,Outage,Open,29-06-2024,26-06-2024,NA
IT183,Request,Customer Service,low,1 - Junior,Medical,Resolved,15-06-2024,29-06-2024,EU
IT184,Request,Returns and Exchanges,low,1 - Junior,Product,Open,15-06-2024,20-06-2024,APAC
IT185,Incident,IT Support,high,1 - Junior,Outage,Open,15-06-2024,23-06-2024,APAC
IT186,Problem,Sales and Pre-Sales,high,1 - Junior,Security,In Progress,15-06-2024,26-06-2024,NA
IT187,Request,Technical Support,high,4 - Management,Documentation,Resolved,16-06-2024,29-06-2024,LATAM
IT188,Request,Billing and Payments,medium,1 - Junior,Sales,In Progress,17-06-2024,16-06-2024,EU
IT189,Problem,Product Support,medium,3 - Senior,Security,Open,20-06-2024,17-06-2024,NA
IT190,Incident,Product Support,high,1 - Junior,Security,Resolved,23-06-2024,20-06-2024,NA
IT191,Request,Customer Service,high,3 - Senior,Strategy,In Progress,26-06-2024,26-06-2024,APAC
IT192,Request,Technical Support,medium,2 - Regular,Strategy,Open,29-06-2024,15-06-2024,MEA
IT193,Problem,Billing and Payments,medium,2 - Regular,Payment,Open,15-06-2024,16-06-2024,MEA
IT194,Incident,Human Resources,high,4 - Management,IT,Open,15-06-2024,17-06-2024,LATAM
IT195,Request,Billing and Payments,medium,2 - Regular,Product,In Progress,16-06-2024,15-06-2024,APAC
IT196,Problem,Technical Support,high,3 - Senior,Incident,Resolved,17-06-2024,16-06-2024,NA
IT197,Incident,Technical Support,medium,2 - Regular,Tech Support,In Progress,20-06-2024,15-06-2024,NA
IT198,Request,Sales and Pre-Sales,medium,2 - Regular,Feedback,Open,23-06-2024,16-06-2024,LATAM
IT199,Incident,Technical Support,high,4 - Management,Disruption,Resolved,26-06-2024,17-06-2024,APAC
IT200,Request,IT Support,high,1 - Junior,Feedback,Open,29-06-2024,15-06-2024,EU
IT201,Problem,Product Support,medium,4 - Management,Hardware,Open,29-06-2024,20-06-2024,MEA
IT202,Request,IT Support,medium,3 - Senior,Product,In Progress,15-06-2024,29-06-2024,NA
IT203,Request,Product Support,low,3 - Senior,Product,Resolved,15-06-2024,17-06-2024,NA
IT204,Request,Technical Support,medium,2 - Regular,Documentation,In Progress,16-06-2024,20-06-2024,NA
IT205,Request,Returns and Exchanges,low,3 - Senior,Marketing,Open,17-06-2024,23-06-2024,APAC
IT206,Change,Product Support,high,2 - Regular,Integration,Resolved,20-06-2024,16-06-2024,NA
IT207,Incident,Sales and Pre-Sales,medium,1 - Junior,Tool,In Progress,23-06-2024,17-06-2024,APAC
IT208,Request,Customer Service,medium,2 - Regular,Customer,Open,26-06-2024,20-06-2024,EU
IT209,Problem,Product Support,high,1 - Junior,Performance,Open,29-06-2024,23-06-2024,MEA
IT210,Request,Technical Support,medium,2 - Regular,Product,Open,29-06-2024,29-06-2024,LATAM
IT211,Incident,Product Support,high,4 - Management,Performance,In Progress,15-06-2024,16-06-2024,EU
IT212,Incident,Human Resources,medium,4 - Management,Performance,Resolved,15-06-2024,17-06-2024,LATAM
IT213,Request,Customer Service,medium,2 - Regular,Documentation,In Progress,16-06-2024,20-06-2024,APAC
IT214,Incident,Technical Support,low,3 - Senior,Website,Open,17-06-2024,29-06-2024,LATAM
IT215,Request,Billing and Payments,high,1 - Junior,Payment,Resolved,20-06-2024,15-06-2024,LATAM
IT216,Incident,Returns and Exchanges,high,3 - Senior,Docker,Open,29-06-2024,17-06-2024,MEA
IT217,Incident,Human Resources,medium,1 - Junior,Integration,Open,15-06-2024,20-06-2024,LATAM
IT218,Request,IT Support,medium,3 - Senior,Feedback,In Progress,15-06-2024,20-06-2024,APAC
IT219,Change,Human Resources,low,1 - Junior,IT,Resolved,16-06-2024,15-06-2024,NA
IT220,Change,General Inquiry,low,4 - Management,Encryption,In Progress,17-06-2024,16-06-2024,EU
IT221,Problem,Customer Service,medium,3 - Senior,Tech Support,Open,20-06-2024,17-06-2024,EU
IT222,Request,Product Support,medium,1 - Junior,Feedback,Resolved,29-06-2024,23-06-2024,MEA
IT223,Request,Customer Service,high,4 - Management,Product,In Progress,15-06-2024,26-06-2024,EU
IT224,Incident,Returns and Exchanges,high,4 - Management,Product,Open,15-06-2024,15-06-2024,APAC
IT225,Change,Technical Support,low,1 - Junior,Compliance,Open,16-06-2024,15-06-2024,LATAM
IT226,Incident,Product Support,high,2 - Regular,Dashboard,Open,17-06-2024,17-06-2024,MEA
IT227,Request,Product Support,low,3 - Senior,Documentation,In Progress,20-06-2024,29-06-2024,NA
IT228,Request,Billing and Payments,high,1 - Junior,IT,Resolved,29-06-2024,15-06-2024,LATAM
IT229,Incident,Technical Support,low,4 - Management,,In Progress,15-06-2024,17-06-2024,NA
IT230,Incident,General Inquiry,low,2 - Regular,Security,Open,15-06-2024,23-06-2024,LATAM
IT231,Problem,Customer Service,low,1 - Junior,Network,Resolved,15-06-2024,26-06-2024,APAC
IT232,Change,Product Support,medium,2 - Regular,Feedback,Open,15-06-2024,15-06-2024,NA
IT233,Request,Product Support,low,2 - Regular,Product,Open,16-06-2024,20-06-2024,APAC
IT234,Incident,Technical Support,high,3 - Senior,Crash,In Progress,17-06-2024,15-06-2024,MEA
IT235,Request,Customer Service,low,2 - Regular,Sales,Resolved,20-06-2024,15-06-2024,NA
IT236,Problem,Billing and Payments,medium,3 - Senior,Customer,In Progress,23-06-2024,16-06-2024,NA
IT237,Incident,Billing and Payments,medium,2 - Regular,Customer,Open,26-06-2024,29-06-2024,EU
IT238,Request,Customer Service,medium,4 - Management,IT,Resolved,29-06-2024,16-06-2024,EU
IT239,Request,Customer Service,medium,4 - Management,Strategy,In Progress,15-06-2024,20-06-2024,MEA
IT240,Request,Product Support,medium,4 - Management,Product,Open,15-06-2024,16-06-2024,EU
IT241,Request,Customer Service,high,2 - Regular,Tech Support,Open,16-06-2024,17-06-2024,NA
IT242,Request,Human Resources,medium,2 - Regular,Sales,Open,17-06-2024,23-06-2024,APAC
IT243,Incident,Returns and Exchanges,low,2 - Regular,Bug,In Progress,20-06-2024,26-06-2024,EU
IT244,Request,IT Support,medium,2 - Regular,Product,Resolved,23-06-2024,29-06-2024,MEA
IT245,Incident,Product Support,low,3 - Senior,Performance,In Progress,26-06-2024,16-06-2024,APAC
IT246,Problem,Billing and Payments,medium,2 - Regular,Billing,Open,29-06-2024,17-06-2024,MEA
IT247,Incident,Technical Support,medium,2 - Regular,Analytics,Resolved,29-06-2024,23-06-2024,MEA
IT248,Change,Customer Service,medium,2 - Regular,Campaign,Open,15-06-2024,26-06-2024,NA
IT249,Problem,Technical Support,low,3 - Senior,Security,Open,15-06-2024,29-06-2024,NA
IT250,Request,Product Support,medium,3 - Senior,Documentation,In Progress,16-06-2024,15-06-2024,EU
IT251,Problem,Technical Support,high,4 - Management,Outage,Resolved,17-06-2024,15-06-2024,LATAM
IT252,Incident,Technical Support,high,3 - Senior,Website,In Progress,20-06-2024,16-06-2024,EU
IT253,Request,Customer Service,low,2 - Regular,Sales,Open,23-06-2024,20-06-2024,EU
IT254,Request,Customer Service,high,4 - Management,Documentation,Resolved,26-06-2024,23-06-2024,LATAM
IT255,Request,Sales and Pre-Sales,high,3 - Senior,Backup,In Progress,29-06-2024,26-06-2024,NA
IT256,Incident,IT Support,high,3 - Senior,Disruption,Open,29-06-2024,29-06-2024,NA
IT257,Incident,Technical Support,low,1 - Junior,Crash,Open,15-06-2024,17-06-2024,MEA
IT258,Request,Product Support,high,2 - Regular,Feature,Open,15-06-2024,29-06-2024,NA
IT259,Request,Billing and Payments,medium,4 - Management,Breach,In Progress,16-06-2024,15-06-2024,APAC
IT260,Change,Product Support,high,3 - Senior,Sales,Resolved,17-06-2024,16-06-2024,APAC
IT261,Incident,Technical Support,low,2 - Regular,Customer,In Progress,20-06-2024,17-06-2024,LATAM
IT262,Incident,Product Support,low,1 - Junior,Bug,Open,29-06-2024,29-06-2024,EU
IT263,Incident,Customer Service,low,1 - Junior,Crash,Resolved,15-06-2024,15-06-2024,LATAM
IT264,Problem,IT Support,medium,3 - Senior,Breach,Open,15-06-2024,16-06-2024,APAC
IT265,Request,Customer Service,medium,2 - Regular,Integration,Open,16-06-2024,29-06-2024,APAC
IT266,Incident,Product Support,medium,3 - Senior,Performance,In Progress,17-06-2024,15-06-2024,EU
IT267,Incident,Customer Service,low,4 - Management,Bug,Resolved,20-06-2024,17-06-2024,NA
IT268,Request,Product Support,low,2 - Regular,Sales,In Progress,29-06-2024,26-06-2024,APAC
IT269,Incident,Customer Service,high,3 - Senior,Bug,Open,15-06-2024,16-06-2024,MEA
IT270,Problem,IT Support,medium,4 - Management,Performance,Resolved,15-06-2024,17-06-2024,NA
IT271,Incident,Service Outages and Maintenance,high,4 - Management,Bug,In Progress,16-06-2024,20-06-2024,NA
IT272,Request,Technical Support,low,4 - Management,Feature,Open,17-06-2024,23-06-2024,MEA
IT273,Request,Service Outages and Maintenance,high,2 - Regular,Feedback,Open,20-06-2024,26-06-2024,APAC
IT274,Change,IT Support,medium,3 - Senior,Guidance,Open,29-06-2024,29-06-2024,APAC
IT275,Request,Customer Service,medium,2 - Regular,Documentation,In Progress,15-06-2024,15-06-2024,MEA
IT276,Change,Billing and Payments,medium,2 - Regular,Account,Resolved,15-06-2024,17-06-2024,NA
IT277,Request,Billing and Payments,low,1 - Junior,Payment,In Progress,15-06-2024,20-06-2024,APAC
IT278,Request,Billing and Payments,medium,1 - Junior,Product,Open,15-06-2024,23-06-2024,EU
IT279,Incident,Product Support,high,2 - Regular,Campaign,Resolved,16-06-2024,26-06-2024,LATAM
IT280,Incident,Customer Service,low,3 - Senior,Breach,Open,17-06-2024,29-06-2024,MEA
IT281,Request,Customer Service,high,3 - Senior,Guidance,Open,20-06-2024,15-06-2024,APAC
IT282,Problem,Billing and Payments,medium,3 - Senior,IT,In Progress,23-06-2024,15-06-2024,LATAM
