Ticket_ID,Status,Priority,Source,Topic,Category,Agent_Group,Created_time,Expected_SLA_resolve,Resolution_Duration,SLA_Status,Survey_Results,Country,Latitude,Longitude,Agent_interactions,Resolution_Imputed,Survey_Imputed,Resolution_Gap,Response_Efficiency,Normalized_Speed,Normalized_Satisfaction,Similarity_Score,Performance_Bucket
TIC-5029,Closed,High,Chat,Monitor Issue,Hardware,Infrastructure,2025-10-22 15:58:00,8,4.56,On-Time,4.0,USA,37.09,-95.71,7,0,0,3.4400000000000004,1.0,0.43000000000000005,0.75,0.558,Standard
TIC-5030,Closed,Low,Phone,Login Issue,Software,Infrastructure,2025-04-10 22:21:00,48,23.46,On-Time,4.0,Germany,51.16,10.45,4,0,0,24.54,9.6,0.51125,0.75,0.60675,Standard
TIC-5031,Resolved,High,Chat,Suspicious Email,Security,L2 Technical Support,2025-04-30 09:53:00,8,7.17,On-Time,3.022642390289449,Brazil,-14.23,-51.92,1,0,1,0.8300000000000001,4.0,0.10375000000000001,0.5056605975723623,0.2645142390289449,Low Efficiency
TIC-5032,Closed,Low,Phone,Password Reset,Security,Network Ops,2025-02-21 14:55:00,48,35.31,On-Time,4.0,Brazil,-14.23,-51.92,5,0,0,12.689999999999998,8.0,0.2643749999999999,0.75,0.45862499999999995,Standard
TIC-5033,Closed,Medium,Chat,Port Request,Network,Security Admin,2025-03-28 12:03:00,24,36.1,Breached,3.0,Germany,51.16,10.45,8,0,0,-12.100000000000001,2.6666666666666665,-0.5041666666666667,0.5,0.0,Low Efficiency
TIC-5034,Closed,Medium,Email,Login Issue,Software,L1 Service Desk,2025-12-10 23:06:00,24,4.47,On-Time,3.0,India,20.59,78.96,11,0,0,19.53,2.0,0.81375,0.5,0.68825,Standard
TIC-5035,Closed,Critical,Chat,Bug Report,Software,Security Admin,2025-07-13 22:42:00,4,0.26,On-Time,4.0,Germany,51.16,10.45,4,0,0,3.74,0.8,0.935,0.75,0.8610000000000001,High Performer
TIC-5036,Closed,Medium,Portal,MFA Reset,Security,Infrastructure,2025-03-17 06:06:00,24,2.62,On-Time,5.0,Brazil,-14.23,-51.92,3,0,0,21.38,6.0,0.8908333333333334,1.0,0.9345,High Performer
TIC-5037,Closed,Medium,Portal,License Request,Software,Infrastructure,2025-05-24 17:52:00,24,20.9,On-Time,4.0,Brazil,-14.23,-51.92,7,0,0,3.1000000000000014,3.0,0.12916666666666676,0.75,0.3775000000000001,Low Efficiency
TIC-5038,Closed,Medium,Email,Printer,Hardware,Infrastructure,2025-08-13 10:08:00,24,15.6,On-Time,1.0,Germany,51.16,10.45,2,0,0,8.4,8.0,0.35,0.0,0.21,Low Efficiency
TIC-5039,Closed,Low,Portal,VPN Drop,Network,L1 Service Desk,2025-09-21 23:24:00,48,72.14,Breached,5.0,Brazil,-14.23,-51.92,4,0,0,-24.14,9.6,-0.5029166666666667,1.0,0.09825,Low Efficiency
TIC-5040,Closed,Low,Chat,VPN Drop,Network,L1 Service Desk,2025-01-15 20:07:00,48,40.55,On-Time,5.0,Brazil,-14.23,-51.92,5,0,0,7.450000000000003,8.0,0.1552083333333334,1.0,0.49312500000000004,Standard
TIC-5041,Closed,Critical,Phone,Password Reset,Security,Infrastructure,2025-09-25 22:29:00,4,0.53,On-Time,5.0,Brazil,-14.23,-51.92,5,0,0,3.4699999999999998,0.6666666666666666,0.8674999999999999,1.0,0.9205,High Performer
TIC-5042,Closed,Medium,Phone,Login Issue,Software,L1 Service Desk,2025-03-10 05:00:00,24,22.24,On-Time,4.0,Germany,51.16,10.45,12,0,0,1.7600000000000016,1.8461538461538463,0.07333333333333336,0.75,0.3440000000000001,Low Efficiency
TIC-5043,Closed,High,Phone,Printer,Hardware,L1 Service Desk,2025-02-25 22:25:00,8,4.58,On-Time,4.0,India,20.59,78.96,6,0,0,3.42,1.1428571428571428,0.4275,0.75,0.5565,Standard
TIC-5044,Closed,Medium,Email,Update Failure,Software,Network Ops,2025-05-24 05:07:00,24,16.8,On-Time,2.0,Brazil,-14.23,-51.92,8,0,0,7.199999999999999,2.6666666666666665,0.29999999999999993,0.25,0.27999999999999997,Low Efficiency
TIC-5045,Resolved,High,Phone,Login Issue,Software,L2 Technical Support,2025-03-11 02:37:00,8,7.82,On-Time,3.022642390289449,UK,55.37,-3.43,12,0,1,0.17999999999999972,0.6153846153846154,0.022499999999999964,0.5056605975723623,0.2157642390289449,Low Efficiency
TIC-5046,Closed,Low,Phone,Port Request,Network,Network Ops,2025-06-01 00:08:00,48,38.95,On-Time,3.0,Brazil,-14.23,-51.92,1,0,0,9.049999999999997,24.0,0.1885416666666666,0.5,0.313125,Low Efficiency
TIC-5047,Closed,Low,Phone,Password Reset,Security,Security Admin,2025-12-02 13:46:00,48,27.83,On-Time,5.0,India,20.59,78.96,3,0,0,20.17,12.0,0.4202083333333334,1.0,0.6521250000000001,Standard
TIC-5048,Closed,Medium,Chat,Printer,Hardware,Infrastructure,2025-02-23 19:20:00,24,34.79,Breached,5.0,UK,55.37,-3.43,4,0,0,-10.79,4.8,-0.4495833333333332,1.0,0.1302500000000001,Low Efficiency
TIC-5049,Closed,Low,Portal,Laptop Repair,Hardware,Network Ops,2025-02-25 01:09:00,48,39.91,On-Time,5.0,Germany,51.16,10.45,7,0,0,8.090000000000003,6.0,0.1685416666666667,1.0,0.501125,Standard
TIC-5050,Closed,Low,Chat,Update Failure,Software,Security Admin,2025-05-07 07:20:00,48,39.92,On-Time,2.0,USA,37.09,-95.71,7,0,0,8.079999999999998,6.0,0.16833333333333333,0.25,0.201,Low Efficiency
TIC-5051,Resolved,High,Chat,Access Revoked,Security,L2 Technical Support,2025-12-16 00:53:00,8,8.39,Breached,3.022642390289449,UK,55.37,-3.43,2,0,1,-0.39000000000000057,2.6666666666666665,-0.04875000000000007,0.5056605975723623,0.17301423902894486,Low Efficiency
TIC-5052,Open,Medium,Email,Printer,Hardware,L1 Service Desk,2025-07-16 23:08:00,24,,Pending,3.022642390289449,Germany,51.16,10.45,5,1,1,,4.0,,0.5056605975723623,,Pending
TIC-5053,Closed,Low,Phone,Monitor Issue,Hardware,L2 Technical Support,2025-10-01 12:24:00,48,63.89,Breached,4.0,Brazil,-14.23,-51.92,8,0,0,-15.89,5.333333333333333,-0.3310416666666667,0.75,0.10137500000000005,Low Efficiency
TIC-5054,Closed,High,Phone,Update Failure,Software,L1 Service Desk,2025-04-03 12:33:00,8,6.17,On-Time,4.0,UK,55.37,-3.43,8,0,0,1.83,0.8888888888888888,0.22875,0.75,0.43725,Standard
TIC-5055,Closed,Critical,Phone,Login Issue,Software,L1 Service Desk,2025-01-26 00:50:00,4,0.63,On-Time,1.0,UK,55.37,-3.43,10,0,0,3.37,0.36363636363636365,0.8425,0.0,0.5055,Standard
TIC-5056,Closed,Medium,Portal,Keyboard/Mouse,Hardware,L2 Technical Support,2025-02-21 00:12:00,24,26.68,Breached,5.0,Brazil,-14.23,-51.92,3,0,0,-2.6799999999999997,6.0,-0.11166666666666658,1.0,0.3330000000000001,Low Efficiency
TIC-5057,Closed,High,Email,MFA Reset,Security,L2 Technical Support,2025-06-02 15:05:00,8,1.67,On-Time,3.0,Germany,51.16,10.45,8,0,0,6.33,0.8888888888888888,0.79125,0.5,0.67475,Standard
TIC-5058,Closed,Medium,Email,VPN Drop,Network,L2 Technical Support,2025-06-03 17:50:00,24,15.5,On-Time,4.0,Brazil,-14.23,-51.92,2,0,0,8.5,8.0,0.35416666666666663,0.75,0.5125,Standard
TIC-5059,Closed,Medium,Email,Printer,Hardware,Infrastructure,2025-10-08 01:00:00,24,37.48,Breached,3.0,Germany,51.16,10.45,6,0,0,-13.479999999999997,3.4285714285714284,-0.5616666666666665,0.5,0.0,Low Efficiency
TIC-5060,Resolved,Low,Phone,Bug Report,Software,Infrastructure,2025-06-20 02:09:00,48,42.87,On-Time,3.022642390289449,Brazil,-14.23,-51.92,3,0,1,5.130000000000003,12.0,0.10687500000000005,0.5056605975723623,0.26638923902894496,Low Efficiency
TIC-5061,Closed,High,Phone,Monitor Issue,Hardware,Infrastructure,2025-02-04 06:24:00,8,8.1,Breached,4.0,UK,55.37,-3.43,2,0,0,-0.09999999999999964,2.6666666666666665,-0.012499999999999956,0.75,0.2925000000000001,Low Efficiency
TIC-5062,Closed,Low,Email,Keyboard/Mouse,Hardware,L2 Technical Support,2025-12-25 17:58:00,48,47.39,On-Time,2.0,Brazil,-14.23,-51.92,7,0,0,0.6099999999999994,6.0,0.012708333333333321,0.25,0.107625,Low Efficiency
TIC-5063,Resolved,Low,Chat,Wi-Fi Access,Network,Security Admin,2025-06-17 22:13:00,48,70.14,Breached,3.022642390289449,Brazil,-14.23,-51.92,6,0,1,-22.14,6.857142857142857,-0.46124999999999994,0.5056605975723623,0.0,Low Efficiency
TIC-5064,Resolved,Low,Phone,Wi-Fi Access,Network,L1 Service Desk,2025-05-07 01:55:00,48,64.07,Breached,3.022642390289449,India,20.59,78.96,5,0,1,-16.069999999999993,8.0,-0.3347916666666666,0.5056605975723623,0.0013892390289449719,Low Efficiency
TIC-5065,Closed,Medium,Chat,Password Reset,Security,Security Admin,2025-11-29 02:28:00,24,24.55,Breached,3.0,Germany,51.16,10.45,1,0,0,-0.5500000000000007,12.0,-0.022916666666666696,0.5,0.18625,Low Efficiency
TIC-5066,Closed,Critical,Email,Bug Report,Software,L2 Technical Support,2025-07-08 12:43:00,4,3.26,On-Time,4.0,Brazil,-14.23,-51.92,7,0,0,0.7400000000000002,0.5,0.18500000000000005,0.75,0.4110000000000001,Standard
TIC-5067,Closed,Low,Email,Printer,Hardware,Infrastructure,2025-04-28 07:28:00,48,39.3,On-Time,5.0,Germany,51.16,10.45,8,0,0,8.700000000000003,5.333333333333333,0.18125000000000002,1.0,0.50875,Standard
TIC-5068,Closed,Critical,Phone,License Request,Software,Infrastructure,2025-08-12 10:46:00,4,0.47,On-Time,3.0,Germany,51.16,10.45,7,0,0,3.5300000000000002,0.5,0.8825000000000001,0.5,0.7295,Standard
TIC-5069,Resolved,Critical,Portal,MFA Reset,Security,Security Admin,2025-11-09 14:11:00,4,4.13,Breached,3.022642390289449,UK,55.37,-3.43,3,0,1,-0.1299999999999999,1.0,-0.03249999999999997,0.5056605975723623,0.18276423902894492,Low Efficiency
TIC-5070,Closed,Low,Portal,MFA Reset,Security,Infrastructure,2025-12-11 21:47:00,48,25.05,On-Time,3.0,UK,55.37,-3.43,1,0,0,22.95,24.0,0.478125,0.5,0.486875,Standard
TIC-5071,Open,Medium,Portal,Access Revoked,Security,Security Admin,2025-05-03 07:51:00,24,,Pending,3.022642390289449,USA,37.09,-95.71,7,1,1,,3.0,,0.5056605975723623,,Pending
TIC-5072,Closed,Medium,Chat,Wi-Fi Access,Network,L2 Technical Support,2025-11-16 02:17:00,24,17.86,On-Time,3.0,India,20.59,78.96,2,0,0,6.140000000000001,8.0,0.25583333333333336,0.5,0.35350000000000004,Low Efficiency
TIC-5073,Closed,Medium,Portal,Laptop Repair,Hardware,L1 Service Desk,2025-10-10 06:50:00,24,23.1,On-Time,3.0,UK,55.37,-3.43,4,0,0,0.8999999999999986,4.8,0.03749999999999998,0.5,0.2225,Low Efficiency
TIC-5074,Closed,High,Email,Slow Internet,Network,Network Ops,2025-12-26 05:00:00,8,9.43,Breached,4.0,USA,37.09,-95.71,5,0,0,-1.4299999999999997,1.3333333333333333,-0.17874999999999996,0.75,0.1927500000000001,Low Efficiency
TIC-5075,Closed,Low,Email,Access Revoked,Security,Network Ops,2025-10-14 08:30:00,48,14.18,On-Time,5.0,Germany,51.16,10.45,8,0,0,33.82,5.333333333333333,0.7045833333333333,1.0,0.8227500000000001,High Performer
TIC-5076,Closed,Low,Phone,License Request,Software,Network Ops,2025-07-15 07:16:00,48,19.57,On-Time,1.0,India,20.59,78.96,4,0,0,28.43,9.6,0.5922916666666667,0.0,0.355375,Low Efficiency
TIC-5077,Closed,Low,Portal,Printer,Hardware,Security Admin,2025-04-21 05:02:00,48,57.52,Breached,2.0,USA,37.09,-95.71,5,0,0,-9.520000000000003,8.0,-0.19833333333333347,0.25,0.0,Low Efficiency
TIC-5078,Closed,Medium,Portal,Printer,Hardware,Network Ops,2025-12-30 21:54:00,24,23.91,On-Time,2.0,India,20.59,78.96,6,0,0,0.08999999999999986,3.4285714285714284,0.003750000000000031,0.25,0.10225000000000002,Low Efficiency
TIC-5079,Closed,Medium,Phone,Keyboard/Mouse,Hardware,L2 Technical Support,2025-11-10 14:24:00,24,39.95,Breached,5.0,Brazil,-14.23,-51.92,6,0,0,-15.950000000000003,3.4285714285714284,-0.6645833333333335,1.0,0.0012499999999999178,Low Efficiency
TIC-5080,Resolved,Low,Portal,Printer,Hardware,Infrastructure,2025-06-04 03:41:00,48,46.8,On-Time,3.022642390289449,UK,55.37,-3.43,2,0,1,1.2000000000000028,16.0,0.025000000000000022,0.5056605975723623,0.21726423902894493,Low Efficiency
TIC-5081,Closed,High,Email,Suspicious Email,Security,Network Ops,2025-06-15 21:27:00,8,8.2,Breached,5.0,India,20.59,78.96,4,0,0,-0.1999999999999993,1.6,-0.02499999999999991,1.0,0.38500000000000006,Low Efficiency
TIC-5082,Closed,Low,Phone,MFA Reset,Security,L2 Technical Support,2025-09-19 02:56:00,48,46.85,On-Time,2.0,Germany,51.16,10.45,8,0,0,1.1499999999999986,5.333333333333333,0.023958333333333304,0.25,0.11437499999999999,Low Efficiency
TIC-5083,Closed,High,Phone,Keyboard/Mouse,Hardware,Network Ops,2025-04-19 03:52:00,8,6.8,On-Time,2.0,Brazil,-14.23,-51.92,4,0,0,1.2000000000000002,1.6,0.15000000000000002,0.25,0.19,Low Efficiency
TIC-5084,Closed,Critical,Portal,Password Reset,Security,Infrastructure,2025-08-08 04:40:00,4,3.81,On-Time,2.0,Brazil,-14.23,-51.92,5,0,0,0.18999999999999995,0.6666666666666666,0.04749999999999999,0.25,0.1285,Low Efficiency
TIC-5085,Closed,Low,Portal,Suspicious Email,Security,Network Ops,2025-01-15 20:07:00,48,39.04,On-Time,2.0,India,20.59,78.96,8,0,0,8.96,5.333333333333333,0.18666666666666665,0.25,0.212,Low Efficiency
TIC-5086,Closed,Medium,Email,Monitor Issue,Hardware,Security Admin,2025-10-13 22:54:00,24,40.46,Breached,5.0,Germany,51.16,10.45,7,0,0,-16.46,3.0,-0.6858333333333333,1.0,0.0,Low Efficiency
TIC-5087,Closed,Medium,Portal,Update Failure,Software,Network Ops,2025-07-29 10:03:00,24,10.07,On-Time,4.0,Brazil,-14.23,-51.92,4,0,0,13.93,4.8,0.5804166666666666,0.75,0.64825,Standard
TIC-5088,Closed,Low,Email,Password Reset,Security,Security Admin,2025-12-08 00:41:00,48,44.89,On-Time,1.0,India,20.59,78.96,2,0,0,3.1099999999999994,16.0,0.06479166666666669,0.0,0.038875000000000014,Low Efficiency
TIC-5089,Closed,Medium,Email,Suspicious Email,Security,Network Ops,2025-01-23 17:24:00,24,3.28,On-Time,2.0,Brazil,-14.23,-51.92,7,0,0,20.72,3.0,0.8633333333333333,0.25,0.6179999999999999,Standard
TIC-5090,Closed,Medium,Chat,Monitor Issue,Hardware,Infrastructure,2025-04-25 18:27:00,24,32.43,Breached,3.0,India,20.59,78.96,3,0,0,-8.43,6.0,-0.35125000000000006,0.5,0.0,Low Efficiency
TIC-5091,Closed,Medium,Portal,Update Failure,Software,L1 Service Desk,2025-01-12 08:03:00,24,19.93,On-Time,4.0,Germany,51.16,10.45,5,0,0,4.07,4.0,0.1695833333333333,0.75,0.40175000000000005,Standard
TIC-5092,Closed,Medium,Email,Wi-Fi Access,Network,L1 Service Desk,2025-10-30 01:03:00,24,32.31,Breached,2.0,UK,55.37,-3.43,6,0,0,-8.310000000000002,3.4285714285714284,-0.34625000000000017,0.25,0.0,Low Efficiency
TIC-5093,Closed,Medium,Email,Monitor Issue,Hardware,L2 Technical Support,2025-09-07 07:25:00,24,20.98,On-Time,2.0,Brazil,-14.23,-51.92,4,0,0,3.0199999999999996,4.8,0.12583333333333335,0.25,0.17550000000000002,Low Efficiency
TIC-5094,Open,Low,Email,Port Request,Network,L2 Technical Support,2025-12-28 15:07:00,48,,Pending,3.022642390289449,Germany,51.16,10.45,2,1,1,,16.0,,0.5056605975723623,,Pending
TIC-5095,Closed,Medium,Chat,License Request,Software,L2 Technical Support,2025-02-26 01:25:00,24,12.42,On-Time,5.0,Brazil,-14.23,-51.92,9,0,0,11.58,2.4,0.48250000000000004,1.0,0.6895,Standard
TIC-5096,Resolved,High,Chat,Keyboard/Mouse,Hardware,Security Admin,2025-12-11 17:20:00,8,7.91,On-Time,3.022642390289449,India,20.59,78.96,4,0,1,0.08999999999999986,1.6,0.011249999999999982,0.5056605975723623,0.2090142390289449,Low Efficiency
TIC-5097,Closed,Low,Phone,Slow Internet,Network,L2 Technical Support,2025-09-03 02:57:00,48,56.09,Breached,3.0,India,20.59,78.96,5,0,0,-8.090000000000003,8.0,-0.1685416666666668,0.5,0.09887499999999992,Low Efficiency
TIC-5098,Closed,Low,Portal,Access Revoked,Security,Network Ops,2025-08-12 09:24:00,48,4.89,On-Time,3.0,Brazil,-14.23,-51.92,4,0,0,43.11,9.6,0.8981250000000001,0.5,0.738875,Standard
TIC-5099,Open,Medium,Portal,Monitor Issue,Hardware,Security Admin,2025-01-04 11:53:00,24,,Pending,3.022642390289449,USA,37.09,-95.71,6,1,1,,3.4285714285714284,,0.5056605975723623,,Pending
TIC-5100,Open,Medium,Portal,Keyboard/Mouse,Hardware,Network Ops,2025-09-21 21:47:00,24,,Pending,3.022642390289449,India,20.59,78.96,6,1,1,,3.4285714285714284,,0.5056605975723623,,Pending
TIC-5101,Closed,Medium,Phone,Wi-Fi Access,Network,L1 Service Desk,2025-02-01 19:45:00,24,34.97,Breached,5.0,Brazil,-14.23,-51.92,3,0,0,-10.969999999999999,6.0,-0.4570833333333333,1.0,0.12575000000000008,Low Efficiency
TIC-5102,Closed,Low,Portal,Password Reset,Security,L2 Technical Support,2025-08-31 23:33:00,48,40.32,On-Time,5.0,USA,37.09,-95.71,8,0,0,7.68,5.333333333333333,0.16000000000000003,1.0,0.49600000000000005,Standard
TIC-5103,Closed,Medium,Phone,Laptop Repair,Hardware,Infrastructure,2025-05-01 10:38:00,24,13.45,On-Time,3.0,Germany,51.16,10.45,4,0,0,10.55,4.8,0.4395833333333333,0.5,0.46375,Standard
TIC-5104,Closed,Low,Phone,Bug Report,Software,Infrastructure,2025-11-03 21:20:00,48,44.42,On-Time,2.0,USA,37.09,-95.71,8,0,0,3.5799999999999983,5.333333333333333,0.07458333333333333,0.25,0.14475,Low Efficiency
TIC-5105,Closed,Low,Email,Port Request,Network,Infrastructure,2025-04-09 09:26:00,48,48.67,Breached,4.0,Brazil,-14.23,-51.92,8,0,0,-0.6700000000000017,5.333333333333333,-0.013958333333333295,0.75,0.2916250000000001,Low Efficiency
TIC-5106,Closed,Medium,Portal,Password Reset,Security,Security Admin,2025-10-12 06:39:00,24,14.98,On-Time,3.0,USA,37.09,-95.71,6,0,0,9.02,3.4285714285714284,0.37583333333333335,0.5,0.4255,Standard
TIC-5107,Closed,Low,Chat,Suspicious Email,Security,L2 Technical Support,2025-08-20 22:59:00,48,43.85,On-Time,4.0,UK,55.37,-3.43,3,0,0,4.149999999999999,12.0,0.0864583333333333,0.75,0.35187500000000005,Low Efficiency
TIC-5108,Closed,Medium,Chat,Login Issue,Software,Infrastructure,2025-04-16 23:54:00,24,19.87,On-Time,2.0,UK,55.37,-3.43,12,0,0,4.129999999999999,1.8461538461538463,0.17208333333333325,0.25,0.20324999999999996,Low Efficiency
TIC-5109,Closed,Medium,Phone,Access Revoked,Security,Network Ops,2025-01-24 16:47:00,24,22.16,On-Time,4.0,India,20.59,78.96,4,0,0,1.8399999999999999,4.8,0.07666666666666666,0.75,0.34600000000000003,Low Efficiency
TIC-5110,Closed,Critical,Chat,Port Request,Network,Infrastructure,2025-03-20 03:48:00,4,3.54,On-Time,3.0,UK,55.37,-3.43,1,0,0,0.45999999999999996,2.0,0.11499999999999999,0.5,0.269,Low Efficiency
TIC-5111,Closed,Medium,Chat,Wi-Fi Access,Network,L2 Technical Support,2025-09-28 00:04:00,24,33.85,Breached,1.0,UK,55.37,-3.43,1,0,0,-9.850000000000001,12.0,-0.41041666666666665,0.0,0.0,Low Efficiency
