Ticket_ID,Status,Priority,Source,Topic,Category,Agent_Group,Created_time,Expected_SLA_resolve,Resolution_Duration,SLA_Status,Survey_Results,Country,Latitude,Longitude,Agent_interactions
TIC-5026,Closed,Low,Chat,Access Revoked,Security,L2 Technical Support,27-12-2025 21:40,48,44.44,On-Time,3,India,20.59,78.96,3
TIC-5027,Closed,Low,Email,Wi-Fi Access,Network,Network Ops,03-09-2025 13:54,48,69.27,Breached,5,Brazil,-14.23,-51.92,8
TIC-5028,Closed,Low,Phone,Laptop Repair,Hardware,Security Admin,06-06-2025 05:10,48,57,Breached,3,USA,37.09,-95.71,5
TIC-5029,Closed,High,Chat,Monitor Issue,Hardware,Infrastructure,22-10-2025 15:58,8,4.56,On-Time,4,USA,37.09,-95.71,7
TIC-5030,Closed,Low,Phone,Login Issue,Software,Infrastructure,10-04-2025 22:21,48,23.46,On-Time,4,Germany,51.16,10.45,4
TIC-5031,Resolved,High,Chat,Suspicious Email,Security,L2 Technical Support,30-04-2025 09:53,8,7.17,On-Time,,Brazil,-14.23,-51.92,1
TIC-5032,Closed,Low,Phone,Password Reset,Security,Network Ops,21-02-2025 14:55,48,35.31,On-Time,4,Brazil,-14.23,-51.92,5
TIC-5033,Closed,Medium,Chat,Port Request,Network,Security Admin,28-03-2025 12:03,24,36.1,Breached,3,Germany,51.16,10.45,8
TIC-5034,Closed,Medium,Email,Login Issue,Software,L1 Service Desk,10-12-2025 23:06,24,4.47,On-Time,3,India,20.59,78.96,11
TIC-5035,Closed,Critical,Chat,Bug Report,Software,Security Admin,13-07-2025 22:42,4,0.26,On-Time,4,Germany,51.16,10.45,4
TIC-5036,Closed,Medium,Portal,MFA Reset,Security,Infrastructure,17-03-2025 06:06,24,2.62,On-Time,5,Brazil,-14.23,-51.92,3
TIC-5037,Closed,Medium,Portal,License Request,Software,Infrastructure,24-05-2025 17:52,24,20.9,On-Time,4,Brazil,-14.23,-51.92,7
TIC-5038,Closed,Medium,Email,Printer,Hardware,Infrastructure,13-08-2025 10:08,24,15.6,On-Time,1,Germany,51.16,10.45,2
TIC-5039,Closed,Low,Portal,VPN Drop,Network,L1 Service Desk,21-09-2025 23:24,48,72.14,Breached,5,Brazil,-14.23,-51.92,4
TIC-5040,Closed,Low,Chat,VPN Drop,Network,L1 Service Desk,15-01-2025 20:07,48,40.55,On-Time,5,Brazil,-14.23,-51.92,5
TIC-5041,Closed,Critical,Phone,Password Reset,Security,Infrastructure,25-09-2025 22:29,4,0.53,On-Time,5,Brazil,-14.23,-51.92,5
TIC-5042,Closed,Medium,Phone,Login Issue,Software,L1 Service Desk,10-03-2025 05:00,24,22.24,On-Time,4,Germany,51.16,10.45,12
TIC-5043,Closed,High,Phone,Printer,Hardware,L1 Service Desk,25-02-2025 22:25,8,4.58,On-Time,4,India,20.59,78.96,6
TIC-5044,Closed,Medium,Email,Update Failure,Software,Network Ops,24-05-2025 05:07,24,16.8,On-Time,2,Brazil,-14.23,-51.92,8
TIC-5045,Resolved,High,Phone,Login Issue,Software,L2 Technical Support,11-03-2025 02:37,8,7.82,On-Time,,UK,55.37,-3.43,12
TIC-5046,Closed,Low,Phone,Port Request,Network,Network Ops,01-06-2025 00:08,48,38.95,On-Time,3,Brazil,-14.23,-51.92,1
TIC-5047,Closed,Low,Phone,Password Reset,Security,Security Admin,02-12-2025 13:46,48,27.83,On-Time,5,India,20.59,78.96,3
TIC-5048,Closed,Medium,Chat,Printer,Hardware,Infrastructure,23-02-2025 19:20,24,34.79,Breached,5,UK,55.37,-3.43,4
TIC-5049,Closed,Low,Portal,Laptop Repair,Hardware,Network Ops,25-02-2025 01:09,48,39.91,On-Time,5,Germany,51.16,10.45,7
TIC-5050,Closed,Low,Chat,Update Failure,Software,Security Admin,07-05-2025 07:20,48,39.92,On-Time,2,USA,37.09,-95.71,7
TIC-5051,Resolved,High,Chat,Access Revoked,Security,L2 Technical Support,16-12-2025 00:53,8,8.39,Breached,,UK,55.37,-3.43,2
TIC-5052,Open,Medium,Email,Printer,Hardware,L1 Service Desk,16-07-2025 23:08,24,,Pending,,Germany,51.16,10.45,5
TIC-5053,Closed,Low,Phone,Monitor Issue,Hardware,L2 Technical Support,01-10-2025 12:24,48,63.89,Breached,4,Brazil,-14.23,-51.92,8
TIC-5054,Closed,High,Phone,Update Failure,Software,L1 Service Desk,03-04-2025 12:33,8,6.17,On-Time,4,UK,55.37,-3.43,8
TIC-5055,Closed,Critical,Phone,Login Issue,Software,L1 Service Desk,26-01-2025 00:50,4,0.63,On-Time,1,UK,55.37,-3.43,10
TIC-5056,Closed,Medium,Portal,Keyboard/Mouse,Hardware,L2 Technical Support,21-02-2025 00:12,24,26.68,Breached,5,Brazil,-14.23,-51.92,3
TIC-5057,Closed,High,Email,MFA Reset,Security,L2 Technical Support,02-06-2025 15:05,8,1.67,On-Time,3,Germany,51.16,10.45,8
TIC-5058,Closed,Medium,Email,VPN Drop,Network,L2 Technical Support,03-06-2025 17:50,24,15.5,On-Time,4,Brazil,-14.23,-51.92,2
TIC-5059,Closed,Medium,Email,Printer,Hardware,Infrastructure,08-10-2025 01:00,24,37.48,Breached,3,Germany,51.16,10.45,6
TIC-5060,Resolved,Low,Phone,Bug Report,Software,Infrastructure,20-06-2025 02:09,48,42.87,On-Time,,Brazil,-14.23,-51.92,3
TIC-5061,Closed,High,Phone,Monitor Issue,Hardware,Infrastructure,04-02-2025 06:24,8,8.1,Breached,4,UK,55.37,-3.43,2
TIC-5062,Closed,Low,Email,Keyboard/Mouse,Hardware,L2 Technical Support,25-12-2025 17:58,48,47.39,On-Time,2,Brazil,-14.23,-51.92,7
TIC-5063,Resolved,Low,Chat,Wi-Fi Access,Network,Security Admin,17-06-2025 22:13,48,70.14,Breached,,Brazil,-14.23,-51.92,6
TIC-5064,Resolved,Low,Phone,Wi-Fi Access,Network,L1 Service Desk,07-05-2025 01:55,48,64.07,Breached,,India,20.59,78.96,5
TIC-5065,Closed,Medium,Chat,Password Reset,Security,Security Admin,29-11-2025 02:28,24,24.55,Breached,3,Germany,51.16,10.45,1
TIC-5066,Closed,Critical,Email,Bug Report,Software,L2 Technical Support,08-07-2025 12:43,4,3.26,On-Time,4,Brazil,-14.23,-51.92,7
TIC-5067,Closed,Low,Email,Printer,Hardware,Infrastructure,28-04-2025 07:28,48,39.3,On-Time,5,Germany,51.16,10.45,8
TIC-5068,Closed,Critical,Phone,License Request,Software,Infrastructure,12-08-2025 10:46,4,0.47,On-Time,3,Germany,51.16,10.45,7
TIC-5069,Resolved,Critical,Portal,MFA Reset,Security,Security Admin,09-11-2025 14:11,4,4.13,Breached,,UK,55.37,-3.43,3
TIC-5070,Closed,Low,Portal,MFA Reset,Security,Infrastructure,11-12-2025 21:47,48,25.05,On-Time,3,UK,55.37,-3.43,1
TIC-5071,Open,Medium,Portal,Access Revoked,Security,Security Admin,03-05-2025 07:51,24,,Pending,,USA,37.09,-95.71,7
TIC-5072,Closed,Medium,Chat,Wi-Fi Access,Network,L2 Technical Support,16-11-2025 02:17,24,17.86,On-Time,3,India,20.59,78.96,2
TIC-5073,Closed,Medium,Portal,Laptop Repair,Hardware,L1 Service Desk,10-10-2025 06:50,24,23.1,On-Time,3,UK,55.37,-3.43,4
TIC-5074,Closed,High,Email,Slow Internet,Network,Network Ops,26-12-2025 05:00,8,9.43,Breached,4,USA,37.09,-95.71,5
TIC-5075,Closed,Low,Email,Access Revoked,Security,Network Ops,14-10-2025 08:30,48,14.18,On-Time,5,Germany,51.16,10.45,8
TIC-5076,Closed,Low,Phone,License Request,Software,Network Ops,15-07-2025 07:16,48,19.57,On-Time,1,India,20.59,78.96,4
TIC-5077,Closed,Low,Portal,Printer,Hardware,Security Admin,21-04-2025 05:02,48,57.52,Breached,2,USA,37.09,-95.71,5
TIC-5078,Closed,Medium,Portal,Printer,Hardware,Network Ops,30-12-2025 21:54,24,23.91,On-Time,2,India,20.59,78.96,6
TIC-5079,Closed,Medium,Phone,Keyboard/Mouse,Hardware,L2 Technical Support,10-11-2025 14:24,24,39.95,Breached,5,Brazil,-14.23,-51.92,6
TIC-5080,Resolved,Low,Portal,Printer,Hardware,Infrastructure,04-06-2025 03:41,48,46.8,On-Time,,UK,55.37,-3.43,2
TIC-5081,Closed,High,Email,Suspicious Email,Security,Network Ops,15-06-2025 21:27,8,8.2,Breached,5,India,20.59,78.96,4
TIC-5082,Closed,Low,Phone,MFA Reset,Security,L2 Technical Support,19-09-2025 02:56,48,46.85,On-Time,2,Germany,51.16,10.45,8
TIC-5083,Closed,High,Phone,Keyboard/Mouse,Hardware,Network Ops,19-04-2025 03:52,8,6.8,On-Time,2,Brazil,-14.23,-51.92,4
TIC-5084,Closed,Critical,Portal,Password Reset,Security,Infrastructure,08-08-2025 04:40,4,3.81,On-Time,2,Brazil,-14.23,-51.92,5
TIC-5085,Closed,Low,Portal,Suspicious Email,Security,Network Ops,15-01-2025 20:07,48,39.04,On-Time,2,India,20.59,78.96,8
TIC-5086,Closed,Medium,Email,Monitor Issue,Hardware,Security Admin,13-10-2025 22:54,24,40.46,Breached,5,Germany,51.16,10.45,7
TIC-5087,Closed,Medium,Portal,Update Failure,Software,Network Ops,29-07-2025 10:03,24,10.07,On-Time,4,Brazil,-14.23,-51.92,4
TIC-5088,Closed,Low,Email,Password Reset,Security,Security Admin,08-12-2025 00:41,48,44.89,On-Time,1,India,20.59,78.96,2
TIC-5089,Closed,Medium,Email,Suspicious Email,Security,Network Ops,23-01-2025 17:24,24,3.28,On-Time,2,Brazil,-14.23,-51.92,7
TIC-5090,Closed,Medium,Chat,Monitor Issue,Hardware,Infrastructure,25-04-2025 18:27,24,32.43,Breached,3,India,20.59,78.96,3
TIC-5091,Closed,Medium,Portal,Update Failure,Software,L1 Service Desk,12-01-2025 08:03,24,19.93,On-Time,4,Germany,51.16,10.45,5
TIC-5092,Closed,Medium,Email,Wi-Fi Access,Network,L1 Service Desk,30-10-2025 01:03,24,32.31,Breached,2,UK,55.37,-3.43,6
TIC-5093,Closed,Medium,Email,Monitor Issue,Hardware,L2 Technical Support,07-09-2025 07:25,24,20.98,On-Time,2,Brazil,-14.23,-51.92,4
TIC-5094,Open,Low,Email,Port Request,Network,L2 Technical Support,28-12-2025 15:07,48,,Pending,,Germany,51.16,10.45,2
TIC-5095,Closed,Medium,Chat,License Request,Software,L2 Technical Support,26-02-2025 01:25,24,12.42,On-Time,5,Brazil,-14.23,-51.92,9
TIC-5096,Resolved,High,Chat,Keyboard/Mouse,Hardware,Security Admin,11-12-2025 17:20,8,7.91,On-Time,,India,20.59,78.96,4
TIC-5097,Closed,Low,Phone,Slow Internet,Network,L2 Technical Support,03-09-2025 02:57,48,56.09,Breached,3,India,20.59,78.96,5
TIC-5098,Closed,Low,Portal,Access Revoked,Security,Network Ops,12-08-2025 09:24,48,4.89,On-Time,3,Brazil,-14.23,-51.92,4
TIC-5099,Open,Medium,Portal,Monitor Issue,Hardware,Security Admin,04-01-2025 11:53,24,,Pending,,USA,37.09,-95.71,6
TIC-5100,Open,Medium,Portal,Keyboard/Mouse,Hardware,Network Ops,21-09-2025 21:47,24,,Pending,,India,20.59,78.96,6
TIC-5101,Closed,Medium,Phone,Wi-Fi Access,Network,L1 Service Desk,01-02-2025 19:45,24,34.97,Breached,5,Brazil,-14.23,-51.92,3
TIC-5102,Closed,Low,Portal,Password Reset,Security,L2 Technical Support,31-08-2025 23:33,48,40.32,On-Time,5,USA,37.09,-95.71,8
TIC-5103,Closed,Medium,Phone,Laptop Repair,Hardware,Infrastructure,01-05-2025 10:38,24,13.45,On-Time,3,Germany,51.16,10.45,4
TIC-5104,Closed,Low,Phone,Bug Report,Software,Infrastructure,03-11-2025 21:20,48,44.42,On-Time,2,USA,37.09,-95.71,8
TIC-5105,Closed,Low,Email,Port Request,Network,Infrastructure,09-04-2025 09:26,48,48.67,Breached,4,Brazil,-14.23,-51.92,8
TIC-5106,Closed,Medium,Portal,Password Reset,Security,Security Admin,12-10-2025 06:39,24,14.98,On-Time,3,USA,37.09,-95.71,6
TIC-5107,Closed,Low,Chat,Suspicious Email,Security,L2 Technical Support,20-08-2025 22:59,48,43.85,On-Time,4,UK,55.37,-3.43,3
TIC-5108,Closed,Medium,Chat,Login Issue,Software,Infrastructure,16-04-2025 23:54,24,19.87,On-Time,2,UK,55.37,-3.43,12
TIC-5109,Closed,Medium,Phone,Access Revoked,Security,Network Ops,24-01-2025 16:47,24,22.16,On-Time,4,India,20.59,78.96,4
TIC-5110,Closed,Critical,Chat,Port Request,Network,Infrastructure,20-03-2025 03:48,4,3.54,On-Time,3,UK,55.37,-3.43,1
TIC-5111,Closed,Medium,Chat,Wi-Fi Access,Network,L2 Technical Support,28-09-2025 00:04,24,33.85,Breached,1,UK,55.37,-3.43,1
TIC-5112,Closed,High,Chat,License Request,Software,Network Ops,26-04-2025 06:42,8,2.67,On-Time,3,UK,55.37,-3.43,8
TIC-5113,Closed,Medium,Chat,Login Issue,Software,Infrastructure,20-08-2025 20:07,24,14.79,On-Time,4,Brazil,-14.23,-51.92,10
TIC-5114,Closed,Medium,Portal,Login Issue,Software,Security Admin,05-10-2025 14:05,24,9.15,On-Time,3,UK,55.37,-3.43,7
TIC-5115,Closed,Medium,Email,Wi-Fi Access,Network,Security Admin,27-10-2025 07:21,24,17.48,On-Time,1,UK,55.37,-3.43,2
TIC-5116,Open,Low,Chat,Password Reset,Security,Network Ops,03-04-2025 05:40,48,,Pending,,Germany,51.16,10.45,2
TIC-5117,Closed,High,Chat,MFA Reset,Security,Security Admin,16-11-2025 08:13,8,2.56,On-Time,4,India,20.59,78.96,4
TIC-5118,Closed,High,Portal,VPN Drop,Network,Security Admin,08-03-2025 01:49,8,9.58,Breached,5,India,20.59,78.96,4
TIC-5119,Closed,Low,Email,VPN Drop,Network,Network Ops,23-01-2025 19:59,48,69.57,Breached,5,USA,37.09,-95.71,3
TIC-5120,Closed,Medium,Portal,Slow Internet,Network,Network Ops,05-03-2025 13:38,24,32.94,Breached,1,USA,37.09,-95.71,7
TIC-5121,Closed,Medium,Email,VPN Drop,Network,L1 Service Desk,06-03-2025 20:28,24,20.4,On-Time,5,India,20.59,78.96,5
TIC-5122,Closed,Medium,Phone,License Request,Software,Network Ops,24-02-2025 07:44,24,3.35,On-Time,2,Brazil,-14.23,-51.92,4
TIC-5123,Closed,High,Phone,Slow Internet,Network,Network Ops,09-06-2025 13:04,8,7.47,On-Time,2,Brazil,-14.23,-51.92,8
TIC-5124,Closed,Low,Portal,Bug Report,Software,Network Ops,27-03-2025 12:31,48,40.94,On-Time,2,Germany,51.16,10.45,9
TIC-5125,Closed,Low,Phone,Slow Internet,Network,Network Ops,17-07-2025 02:55,48,60.67,Breached,2,Germany,51.16,10.45,3
TIC-5126,Closed,Medium,Phone,License Request,Software,L1 Service Desk,01-10-2025 18:52,24,14.36,On-Time,5,UK,55.37,-3.43,7
TIC-5127,Closed,High,Phone,Port Request,Network,Security Admin,01-06-2025 10:02,8,8.85,Breached,4,India,20.59,78.96,2
TIC-5128,Closed,Medium,Phone,Suspicious Email,Security,L2 Technical Support,10-09-2025 06:46,24,14.1,On-Time,1,UK,55.37,-3.43,7
TIC-5129,Closed,Medium,Chat,Password Reset,Security,Security Admin,21-06-2025 16:19,24,23.58,On-Time,1,India,20.59,78.96,4
TIC-5130,Closed,Low,Portal,Monitor Issue,Hardware,L1 Service Desk,05-11-2025 05:08,48,59.83,Breached,4,UK,55.37,-3.43,6
TIC-5131,Closed,Medium,Portal,Access Revoked,Security,L2 Technical Support,04-12-2025 15:29,24,5.36,On-Time,4,USA,37.09,-95.71,1
TIC-5132,Resolved,High,Chat,Laptop Repair,Hardware,Security Admin,25-06-2025 18:26,8,6.08,On-Time,,Germany,51.16,10.45,7
TIC-5133,Closed,Low,Chat,Suspicious Email,Security,Network Ops,26-10-2025 05:54,48,18.34,On-Time,4,UK,55.37,-3.43,2
TIC-5134,Resolved,Low,Email,MFA Reset,Security,Network Ops,04-03-2025 18:32,48,11.47,On-Time,,Brazil,-14.23,-51.92,8
TIC-5135,Closed,Medium,Email,License Request,Software,L2 Technical Support,10-03-2025 11:18,24,8.27,On-Time,5,USA,37.09,-95.71,7
TIC-5136,Resolved,Medium,Email,License Request,Software,L1 Service Desk,17-05-2025 21:57,24,6.27,On-Time,,USA,37.09,-95.71,11
TIC-5137,Closed,Medium,Email,Laptop Repair,Hardware,Security Admin,29-06-2025 21:01,24,15.63,On-Time,3,USA,37.09,-95.71,7
TIC-5138,Resolved,Medium,Portal,License Request,Software,L1 Service Desk,12-02-2025 21:25,24,21.7,On-Time,,Germany,51.16,10.45,12
TIC-5139,Closed,Medium,Email,Keyboard/Mouse,Hardware,Security Admin,03-07-2025 17:55,24,17.92,On-Time,1,UK,55.37,-3.43,8
TIC-5140,Closed,Medium,Phone,Printer,Hardware,Security Admin,16-04-2025 13:22,24,15.5,On-Time,2,USA,37.09,-95.71,5
TIC-5141,Closed,High,Chat,Password Reset,Security,Security Admin,17-01-2025 16:45,8,3.37,On-Time,4,Germany,51.16,10.45,1
TIC-5142,Closed,Medium,Phone,Password Reset,Security,L1 Service Desk,16-12-2025 08:45,24,13.86,On-Time,4,UK,55.37,-3.43,3
TIC-5143,Closed,Low,Email,Laptop Repair,Hardware,L1 Service Desk,15-04-2025 04:06,48,71.7,Breached,3,India,20.59,78.96,4
TIC-5144,Resolved,Low,Phone,Laptop Repair,Hardware,Security Admin,05-10-2025 00:34,48,52.53,Breached,,USA,37.09,-95.71,4
TIC-5145,Closed,Low,Phone,License Request,Software,L1 Service Desk,12-08-2025 11:07,48,18.56,On-Time,1,USA,37.09,-95.71,12
TIC-5146,Closed,Low,Email,Port Request,Network,L1 Service Desk,30-01-2025 17:18,48,73.08,Breached,5,UK,55.37,-3.43,5
TIC-5147,Closed,Critical,Chat,Printer,Hardware,L1 Service Desk,01-10-2025 23:43,4,4.3,Breached,2,India,20.59,78.96,6
TIC-5148,Closed,Low,Phone,Printer,Hardware,Infrastructure,07-01-2025 03:22,48,64.33,Breached,3,India,20.59,78.96,1
TIC-5149,Closed,Low,Portal,Slow Internet,Network,Security Admin,02-11-2025 09:57,48,72.49,Breached,4,UK,55.37,-3.43,3
TIC-5150,Closed,Medium,Phone,License Request,Software,Infrastructure,24-05-2025 02:48,24,20.92,On-Time,1,India,20.59,78.96,3
TIC-5151,Closed,Low,Phone,Login Issue,Software,Network Ops,15-09-2025 17:51,48,46.13,On-Time,2,India,20.59,78.96,5
TIC-5152,Closed,Medium,Chat,Slow Internet,Network,L1 Service Desk,30-06-2025 03:43,24,29.15,Breached,3,Germany,51.16,10.45,2
TIC-5153,Closed,Low,Chat,Login Issue,Software,Security Admin,13-05-2025 16:18,48,13.62,On-Time,5,India,20.59,78.96,9
TIC-5154,Closed,Low,Phone,Update Failure,Software,Security Admin,28-10-2025 04:24,48,38.29,On-Time,4,USA,37.09,-95.71,11
TIC-5155,Closed,Medium,Chat,Laptop Repair,Hardware,L2 Technical Support,21-02-2025 16:41,24,25.42,Breached,5,UK,55.37,-3.43,3
TIC-5156,Closed,Low,Chat,Monitor Issue,Hardware,Infrastructure,21-06-2025 10:36,48,67.07,Breached,1,India,20.59,78.96,2
TIC-5157,Closed,Medium,Email,Access Revoked,Security,Security Admin,15-07-2025 22:28,24,24.71,Breached,4,USA,37.09,-95.71,7
TIC-5158,Resolved,High,Phone,Login Issue,Software,Infrastructure,24-11-2025 19:25,8,6.46,On-Time,,India,20.59,78.96,8
TIC-5159,Closed,Low,Portal,VPN Drop,Network,L1 Service Desk,04-08-2025 19:29,48,80.85,Breached,5,India,20.59,78.96,4
TIC-5160,Closed,Low,Phone,MFA Reset,Security,Infrastructure,09-06-2025 13:13,48,29.78,On-Time,1,Brazil,-14.23,-51.92,1
TIC-5161,Closed,High,Chat,Update Failure,Software,L1 Service Desk,24-12-2025 17:45,8,0.71,On-Time,2,UK,55.37,-3.43,9
TIC-5162,Closed,Low,Phone,Slow Internet,Network,Network Ops,04-01-2025 09:16,48,47.96,On-Time,4,Brazil,-14.23,-51.92,6
TIC-5163,Closed,High,Portal,Login Issue,Software,Security Admin,13-08-2025 20:44,8,6.9,On-Time,4,UK,55.37,-3.43,10
TIC-5164,Closed,Medium,Portal,Password Reset,Security,Network Ops,17-06-2025 04:42,24,22.5,On-Time,3,Brazil,-14.23,-51.92,1
TIC-5165,Closed,Medium,Portal,Suspicious Email,Security,L1 Service Desk,14-02-2025 22:11,24,7.47,On-Time,2,India,20.59,78.96,8
TIC-5166,Closed,Low,Email,Printer,Hardware,L1 Service Desk,09-01-2025 15:01,48,30.32,On-Time,2,Brazil,-14.23,-51.92,6
TIC-5167,Closed,Low,Email,Laptop Repair,Hardware,Network Ops,16-10-2025 12:38,48,42.25,On-Time,3,USA,37.09,-95.71,7
TIC-5168,Closed,Low,Email,Bug Report,Software,Infrastructure,03-11-2025 07:08,48,17.18,On-Time,1,USA,37.09,-95.71,3
TIC-5169,Closed,Medium,Portal,Update Failure,Software,L2 Technical Support,24-06-2025 08:26,24,11.46,On-Time,5,USA,37.09,-95.71,10
TIC-5170,Closed,High,Phone,Update Failure,Software,Security Admin,31-05-2025 03:35,8,6.39,On-Time,2,India,20.59,78.96,9
TIC-5171,Closed,Critical,Portal,Monitor Issue,Hardware,Network Ops,24-06-2025 02:59,4,3.42,On-Time,2,Germany,51.16,10.45,2
TIC-5172,Closed,Low,Email,Laptop Repair,Hardware,Network Ops,19-03-2025 16:52,48,85.95,Breached,4,USA,37.09,-95.71,2
TIC-5173,Closed,Medium,Email,Laptop Repair,Hardware,Security Admin,30-10-2025 06:21,24,39.63,Breached,5,UK,55.37,-3.43,1
TIC-5174,Closed,Medium,Email,Monitor Issue,Hardware,L1 Service Desk,30-04-2025 03:13,24,30.7,Breached,2,UK,55.37,-3.43,6
TIC-5175,Closed,Medium,Email,Login Issue,Software,Infrastructure,14-10-2025 19:53,24,7.64,On-Time,4,India,20.59,78.96,11
TIC-5176,Closed,High,Phone,VPN Drop,Network,L1 Service Desk,06-01-2025 23:38,8,5.1,On-Time,1,USA,37.09,-95.71,7
TIC-5177,Resolved,Medium,Chat,VPN Drop,Network,L1 Service Desk,08-11-2025 20:55,24,38.18,Breached,,UK,55.37,-3.43,7
TIC-5178,Closed,Medium,Portal,Wi-Fi Access,Network,L1 Service Desk,03-07-2025 17:41,24,18.83,On-Time,4,Germany,51.16,10.45,1
TIC-5179,Closed,Critical,Chat,Port Request,Network,Security Admin,30-12-2025 18:49,4,2.72,On-Time,4,UK,55.37,-3.43,4
TIC-5180,Resolved,Low,Email,VPN Drop,Network,Infrastructure,09-03-2025 07:46,48,69.95,Breached,,UK,55.37,-3.43,7
TIC-5181,Closed,Low,Portal,Bug Report,Software,L1 Service Desk,04-11-2025 22:30,48,46.2,On-Time,1,UK,55.37,-3.43,7
TIC-5182,Closed,Low,Phone,Port Request,Network,Security Admin,11-12-2025 15:37,48,41.6,On-Time,1,Germany,51.16,10.45,5
TIC-5183,Open,High,Portal,Login Issue,Software,L1 Service Desk,22-02-2025 13:14,8,,Pending,,USA,37.09,-95.71,3
TIC-5184,Closed,Critical,Chat,Bug Report,Software,L2 Technical Support,16-08-2025 19:36,4,2.26,On-Time,1,India,20.59,78.96,5
TIC-5185,Closed,High,Email,VPN Drop,Network,Security Admin,19-09-2025 22:05,8,4.73,On-Time,4,USA,37.09,-95.71,2
TIC-5186,Closed,Medium,Phone,Password Reset,Security,L1 Service Desk,06-10-2025 12:54,24,2.59,On-Time,1,USA,37.09,-95.71,1
TIC-5187,Closed,Medium,Chat,VPN Drop,Network,Infrastructure,24-11-2025 10:01,24,15.88,On-Time,4,USA,37.09,-95.71,6
